web-scraper-order,web-scraper-start-url,ListingLink,ListingLink-href,YearBuilt,LotSize,PropertyDetails,beds,baths,size,address,price,price-link,PaginationLinks,PaginationLinks-href
"1659740028-2901","https://www.zillow.com/avon-nc/for-sale/","41315 Portside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41315-Portside-Dr-Avon-NC-27915/228619279_zpid/","Built in 2007","0.37 Acres","Property detailsAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Association Pool, Heated, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Lake/River, SoundWaterfront features: Lake Front, Beach AccessHas waterview: YesWaterview: Lake/River,SoundLotLot size: 0.37 AcresLot features: LevelOther property informationParcel number: 014822191Zoning description: Res","6","8","4,650","41315 Portside Dr, Avon, NC 27915","$1,100,000","$1,100,000","",""
"1659739837-2853","https://www.zillow.com/frisco-nc/for-sale/","52593 Piney Ridge Rd, Frisco, NC 27936","https://www.zillow.com/homedetails/52593-Piney-Ridge-Rd-Frisco-NC-27936/247063281_zpid/","Built in 1984","0.49 Acres","Property detailsParkingTotal spaces: 1Parking features: 1 Car, Detached, On StreetGarage spaces: 1Has uncovered spaces: YesPropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Sun DeckWaterfront features: NoneResidential vegetation: WoodedLotLot size: 0.49 AcresLot features: Irregular TerrainOther property informationParcel number: 026463000Zoning description: RES","3","2","1,156","52593 Piney Ridge Rd, Frisco, NC 27936","$324,000","$324,000","",""
"1659740518-2946","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739715-2823","https://www.zillow.com/rodanthe-nc/for-sale/","24263 N Holiday Blvd, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24263-N-Holiday-Blvd-Rodanthe-NC-27968/243986975_zpid/","Built in 1978","9,500 sqft","Property detailsParkingParking features: No Garage, Off Street, UnpavedPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Sun Deck, Roof Top DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 9,500 sqftOther property informationParcel number: 012630000Zoning description: Res","3","2","1,211","24263 N Holiday Blvd, Rodanthe, NC 27968","$575,000","$575,000","",""
"1659740156-2936","https://www.zillow.com/buxton-nc/for-sale/","0 Buxton Cemetery Rd, Buxton, NC 27920","https://www.zillow.com/homedetails/0-Buxton-Cemetery-Rd-Buxton-NC-27920/2095531295_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: BuxtonSubdivision: None","1","null","null","0 Buxton Cemetery Rd, Buxton, NC 27920","$149,900","$149,900","",""
"1659740094-2920","https://www.zillow.com/avon-nc/for-sale/","40329 Croaker Ct, Avon, NC 27915","https://www.zillow.com/homedetails/40329-Croaker-Ct-Avon-NC-27915/228618540_zpid/","Built in 1978","No data","Property detailsParkingParking features: Carport, Off Street, UnpavedCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Sun DeckView description: OceanWaterfront features: Ocean Front, Beach AccessHas waterview: YesWaterview: OceanOther property informationParcel number: 013923000Zoning description: R1","4","2","1,152","40329 Croaker Ct, Avon, NC 27915","$725,000","$725,000","",""
"1659740518-2969","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740685-3014","https://www.zillow.com/waves-nc/for-sale/","27199 Sunset Dr LOT 1, Salvo, NC 27972","https://www.zillow.com/homedetails/27199-Sunset-Dr-LOT-1-Salvo-NC-27972/2066633609_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: SalvoSubdivision: Grande Harbor","0","null","null","27199 Sunset Dr LOT 1, Salvo, NC 27972","$285,000","$285,000","",""
"1659739866-2862","https://www.zillow.com/frisco-nc/for-sale/","50534 Timber Trl, Buxton, NC 27920","https://www.zillow.com/homedetails/50534-Timber-Trl-Buxton-NC-27920/2062233514_zpid/","Built in 1981","10,500 sqft","Property detailsParkingParking features: No Garage, Paved, Off Street, UndergroundHas garage: YesPropertyPool features: NoneExterior features: Outdoor ShowerPatio and porch details: Sun DeckView description: SoundWaterfront features: Soundfront, WaterfrontHas waterview: YesWaterview: SoundLotLot size: 10,500 sqftLot features: LevelOther property informationZoning description: RES","3","2","2,166","50534 Timber Trl, Buxton, NC 27920","$650,000","$650,000","",""
"1659740058-2910","https://www.zillow.com/avon-nc/for-sale/","41389 Ocean View Drive, Avon, NC 27915","https://www.zillow.com/homedetails/41389-Ocean-View-Dr-Avon-NC-27915/247062913_zpid/","Built in 2016","$550 annually HOA fee","Property detailsParkingParking features: NonePropertyLevels: TwoPrivate pool: YesPool features: In GroundSpa included: YesSpa features: HeatedWaterfront features: Ocean FrontOther property informationParcel number: 014822043Special conditions: Standard","6","9","null","41389 Ocean View Drive, Avon, NC 27915","$2,499,999","$2,499,999","",""
"1659739667-2809","https://www.zillow.com/rodanthe-nc/for-sale/","23270 Midgetts Mobile Ct LOT 2, Rodanthe, NC 27968","https://www.zillow.com/homedetails/23270-Midgetts-Mobile-Ct-LOT-2-Rodanthe-NC-27968/2120375256_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: RodantheSubdivision: Finni's Landing","1","null","null","23270 Midgetts Mobile Ct LOT 2, Rodanthe, NC 27968","$650,000","$650,000","",""
"1659739756-2829","https://www.zillow.com/frisco-nc/for-sale/","null","null","","","","null","null","null","null","null","","Chevron Right","https://www.zillow.com/frisco-nc/2_p/"
"1659740149-2934","https://www.zillow.com/buxton-nc/for-sale/","47240 Dots Bridge Ln LOT 5, Buxton, NC 27920","https://www.zillow.com/homedetails/47240-Dots-Bridge-Ln-LOT-5-Buxton-NC-27920/2075329901_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $469","2","null","null","47240 Dots Bridge Ln LOT 5, Buxton, NC 27920","$140,000","$140,000","",""
"1659740576-2984","https://www.zillow.com/hatteras-nc/for-sale/","0 Kohler Dr, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Kohler-Dr-Hatteras-NC-27943/2117300394_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: None","1","null","null","0 Kohler Dr, Hatteras, NC 27943","$400,000","$400,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739881-2867","https://www.zillow.com/frisco-nc/for-sale/","54393 State Highway 12, Frisco, NC 27936","https://www.zillow.com/homedetails/54393-State-Highway-12-Frisco-NC-27936/86653911_zpid/","Built in 1977","No data","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: NoneView description: SoundHas waterview: YesWaterview: SoundLotLot features: LevelOther property informationParcel number: 015207000Zoning description: residentia","3","2","1,352","54393 State Highway 12, Frisco, NC 27936","$397,000","$397,000","",""
"1659740688-3015","https://www.zillow.com/waves-nc/for-sale/","26129 N Sand Dollar Ct LOT 7, Salvo, NC 27972","https://www.zillow.com/homedetails/26129-N-Sand-Dollar-Ct-LOT-7-Salvo-NC-27972/2112349173_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: SalvoSubdivision: Wind Over Waves","0","null","null","26129 N Sand Dollar Ct LOT 7, Salvo, NC 27972","$135,000","$135,000","",""
"1659740658-3010","https://www.zillow.com/hatteras-nc/for-sale/","56346 State Highway 12, Hatteras, NC 27943","https://www.zillow.com/homedetails/56346-State-Highway-12-Hatteras-NC-27943/249918935_zpid/","Built in 2007","10,000 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Concrete, In Ground, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Salt Marsh, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach AccessFrontage length: Roadfront: 100Has waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 10,000 sqftLot size dimensions: 100'  x  100'Lot features: LevelOther property informationParcel number: 027201000Zoning description: Res","4","6","2,925","56346 State Highway 12, Hatteras, NC 27943","$989,000","$989,000","",""
"1659740115-2926","https://www.zillow.com/avon-nc/for-sale/","39300 Angelfish Rd, Avon, NC 27915","https://www.zillow.com/homedetails/39300-Angelfish-Rd-Avon-NC-27915/228618294_zpid/","Built in 1966","7,000 sqft","Property detailsParkingParking features: No GaragePropertyPool features: NonePatio and porch details: Roof Top DeckView description: OceanWaterfront features: Semi-Oceanfront (2nd row)Has waterview: YesWaterview: OceanLotLot size: 7,000 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 01363300001Zoning description: R-1","2","1","672","39300 Angelfish Rd, Avon, NC 27915","$350,000","$350,000","",""
"1659740636-3003","https://www.zillow.com/hatteras-nc/for-sale/","0 Nc Highway 12 LOT ONE, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-Nc-Highway-12-LOT-ONE-Hatteras-NC-27943/2081478744_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: None","0","null","null","0 Nc Highway 12 LOT ONE, Hatteras, NC 27943","$265,000","$265,000","",""
"1659739775-2835","https://www.zillow.com/frisco-nc/for-sale/","50330 Timber Trl LOT 20, Frisco, NC 27936","https://www.zillow.com/homedetails/50330-Timber-Trl-LOT-20-Frisco-NC-27936/2073189491_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: Indiantown Shrs","0","null","null","50330 Timber Trl LOT 20, Frisco, NC 27936","$179,000","$179,000","",""
"1659740174-2939","https://www.zillow.com/buxton-nc/for-sale/","47457 Rocky Rollinson Rd, Buxton, NC 27920","https://www.zillow.com/homedetails/47457-Rocky-Rollinson-Rd-Buxton-NC-27920/228621156_zpid/","Built in 2003","$208 price/sqft","Property detailsParkingParking features: No Garage, Off StreetPropertyPool features: NoneView description: CanalWaterfront features: Canal FrontHas waterview: YesWaterview: CanalLotLot size: 0.25 AcresLot features: LevelOther property informationParcel number: 016961000Zoning description: Res","3","2","1,104","47457 Rocky Rollinson Rd, Buxton, NC 27920","$230,000","$230,000","",""
"1659740518-2966","https://www.zillow.com/hatteras-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659739726-2826","https://www.zillow.com/rodanthe-nc/for-sale/","24211 Ocean Dr S, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24211-Ocean-Dr-S-Rodanthe-NC-27968/228617430_zpid/","Built in 1985","10,500 sqft","Property detailsParkingParking features: No Garage, Off Street, Underground, UnpavedHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 10,500 sqftLot features: LevelOther property informationParcel number: 012750000Zoning description: S-1","4","3","1,320","24211 Ocean Dr S, Rodanthe, NC 27968","$599,000","$599,000","",""
"1659739878-2866","https://www.zillow.com/frisco-nc/for-sale/","53282 Runboat Cir, Frisco, NC 27936","https://www.zillow.com/homedetails/53282-Runboat-Cir-Frisco-NC-27936/250038479_zpid/","Built in 1997","8,000 sqft","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, StoragePatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: More than 5th row, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 8,000 sqftLot features: LandscapedOther property informationParcel number: 029642057Zoning description: S-1","4","4","2,230","53282 Runboat Cir, Frisco, NC 27936","$579,000","$579,000","",""
"1659740585-2987","https://www.zillow.com/hatteras-nc/for-sale/","58264 State Highway 12 UNIT 2, Hatteras, NC 27943","https://www.zillow.com/homedetails/58264-State-Highway-12-UNIT-2-Hatteras-NC-27943/2062951424_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: None","3","null","null","58264 State Highway 12 UNIT 2, Hatteras, NC 27943","$845,000","$845,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739645-2802","https://www.zillow.com/rodanthe-nc/for-sale/","24260 Atlantic Dr, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24260-Atlantic-Dr-Rodanthe-NC-27968/2079584530_zpid/","Built in 2007","No data","Property detailsParkingParking features: Off Street, PavedPropertyPrivate pool: YesPool features: Outdoor Pool, In Ground, Private Pool, PrivatePatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: OceanOther property informationZoning description: R","4","6","2,855","24260 Atlantic Dr, Rodanthe, NC 27968","$1,695,000","$1,695,000","",""
"1659740639-3004","https://www.zillow.com/hatteras-nc/for-sale/","58203 Dunes Dr, Hatteras, NC 27943","https://www.zillow.com/homedetails/58203-Dunes-Dr-Hatteras-NC-27943/228621432_zpid/","Built in 1978","5,000 sqft","Property detailsParkingParking features: No Garage, Off Street, PavedPropertyPool features: NoneExterior features: LightingPatio and porch details: Sun DeckView description: Harbor, Ocean, Salt Marsh, SoundWaterfront features: More than 5th row, Beach AccessHas waterview: YesWaterview: Harbor,Ocean,Salt Marsh,SoundLotLot size: 5,000 sqftLot features: Corner Lot, LevelOther property informationParcel number: 017360000Zoning description: RES","4","5","2,429","58203 Dunes Dr, Hatteras, NC 27943","$670,000","$670,000","",""
"1659739783-2837","https://www.zillow.com/frisco-nc/for-sale/","52820 State Highway 12, Buxton, NC 27920","https://www.zillow.com/homedetails/52820-State-Highway-12-Buxton-NC-27920/2063192847_zpid/","No data","null","OtherOther factsFurnished: UnfurnishedYearBuiltEffective: 0CoveredSpaces: 0LandLeaseAmount: 0MlsStatus: ActiveTaxAnnualAmount: 0ParcelNumber: 50620909620","0","null","null","52820 State Highway 12, Buxton, NC 27920","$77,999","$77,999","",""
"1659739950-2877","https://www.zillow.com/avon-nc/for-sale/","42166 Askins Creek Dr LOT 47, Avon, NC 27915","https://www.zillow.com/homedetails/42166-Askins-Creek-Dr-LOT-47-Avon-NC-27915/2077414673_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: Askins Creek","0","null","null","42166 Askins Creek Dr LOT 47, Avon, NC 27915","$160,000","$160,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739696-2818","https://www.zillow.com/rodanthe-nc/for-sale/","24216 Seabreeze Ct, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24216-Seabreeze-Ct-Rodanthe-NC-27968/2065483263_zpid/","Built in 1988","0.38 Acres","Property detailsParkingParking features: Attached, Off Street, PavedAccessibilityAccessibility features: Handicap FriendlyPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 0.38 AcresLot features: Cul-De-Sac, LevelOther property informationZoning description: S1","4","4","2,319","24216 Seabreeze Ct, Rodanthe, NC 27968","$650,000","$650,000","",""
"1659739741-2828","https://www.zillow.com/frisco-nc/for-sale/","null","null","","","","null","null","null","null","null","","",""
"1659740079-2916","https://www.zillow.com/avon-nc/for-sale/","42087 Pheasant Cir, Avon, NC 27915","https://www.zillow.com/homedetails/42087-Pheasant-Cir-Avon-NC-27915/86668922_zpid/","Built in 1989","0.25 Acres","Property detailsParkingTotal spaces: 2Parking features: 2 Car, Carport, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: Private, BathExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, Pond, Salt Marsh, SoundWaterfront features: Beach AccessFrontage length: Waterfront: 0,Roadfront: 71Has waterview: YesWaterview: Ocean,Pond,Salt Marsh,SoundLotLot size: 0.25 AcresLot size dimensions: 71 x 145 x 76 x 149Other property informationParcel number: 029593006Zoning description: R1","4","3","2,300","42087 Pheasant Cir, Avon, NC 27915","$549,000","$549,000","",""
"1659740032-2902","https://www.zillow.com/avon-nc/for-sale/","40098 Reef Dr LOT 7, Avon, NC 27915","https://www.zillow.com/homedetails/40098-Reef-Dr-LOT-7-Avon-NC-27915/2062383186_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $1,202","9","null","null","40098 Reef Dr LOT 7, Avon, NC 27915","$429,000","$429,000","",""
"1659739664-2808","https://www.zillow.com/rodanthe-nc/for-sale/","24257 Dean Ave LOT 19, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24257-Dean-Ave-LOT-19-Rodanthe-NC-27968/2099175283_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $216","9","null","null","24257 Dean Ave LOT 19, Rodanthe, NC 27968","$199,000","$199,000","",""
"1659740062-2911","https://www.zillow.com/avon-nc/for-sale/","40266 Moore Way, Avon, NC 27915","https://www.zillow.com/homedetails/40266-Moore-Way-Avon-NC-27915/228619141_zpid/","Built in 1999","No data","Property detailsParkingParking features: No Garage, PavedPropertyPool features: NoneWaterfront features: Semi-Oceanfront (2nd row)Other property informationParcel number: 014808012Zoning description: residental","4","3","1,904","40266 Moore Way, Avon, NC 27915","$625,000","$625,000","",""
"1659739808-2845","https://www.zillow.com/frisco-nc/for-sale/","50481 Timber Trl LOT 27, Frisco, NC 27936","https://www.zillow.com/homedetails/50481-Timber-Trl-LOT-27-Frisco-NC-27936/2068802567_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: FriscoSubdivision: Indiantown Shrs","8","null","null","50481 Timber Trl LOT 27, Frisco, NC 27936","$125,000","$125,000","",""
"1659740623-2999","https://www.zillow.com/hatteras-nc/for-sale/","58219 Empire Gem Ln, Hatteras, NC 27943","https://www.zillow.com/homedetails/58219-Empire-Gem-Ln-Hatteras-NC-27943/249914159_zpid/","Built in 2001","6,000 sqft","Property detailsParkingParking features: No Garage, Off Street, Paved, UndergroundHas garage: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Beach AccessHas waterview: YesWaterview: OceanLotLot size: 6,000 sqftLot features: LevelOther property informationParcel number: 029651000Zoning description: RES","4","5","2,620","58219 Empire Gem Ln, Hatteras, NC 27943","$749,000","$749,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739985-2888","https://www.zillow.com/avon-nc/for-sale/","41474 Portside Dr, Avon, NC 27915","https://www.zillow.com/homedetails/41474-Portside-Dr-Avon-NC-27915/228619303_zpid/","Built in 2007","3,000 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesAccessibilityAccessibility features: Handicap FriendlyPropertyPrivate pool: YesPool features: Association Pool, In Ground, Outdoor Pool, Private Pool, Private and AssociationSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Salt Marsh, SoundWaterfront features: Soundfront, Boardwalk to BeachHas waterview: YesWaterview: Salt Marsh,SoundLotLot size: 3,000 sqftLot features: Adj to Park Serv./Preserv, Cul-De-Sac, LevelOther property informationParcel number: 014822239Zoning description: Res","7","8","4,469","41474 Portside Dr, Avon, NC 27915","$1,599,000","$1,599,000","",""
"1659740002-2893","https://www.zillow.com/avon-nc/for-sale/","40331 Williams Rd, Avon, NC 27915","https://www.zillow.com/homedetails/40331-Williams-Rd-Avon-NC-27915/2062546379_zpid/","Built in 2009","No data","Property detailsParkingParking features: Carport, Off StreetCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Sun DeckView description: Canal, Salt Marsh, SoundWaterfront features: Soundfront, Bulkheaded, WaterfrontResidential vegetation: WoodedHas waterview: YesWaterview: Canal,Salt Marsh,SoundLotLot features: Cul-De-Sac, Level, LandscapedOther property informationZoning description: R-2A","3","4","1,604","40331 Williams Rd, Avon, NC 27915","$1,350,000","$1,350,000","",""
"1659739689-2816","https://www.zillow.com/rodanthe-nc/for-sale/","24270 Dean Ave, Rodanthe, NC 27982","https://www.zillow.com/homedetails/24270-Dean-Ave-Rodanthe-NC-27982/228617386_zpid/","Built in 2007","9,500 sqft","Property detailsParkingParking features: Carport, Off Street, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Dry EntryPatio and porch details: Covered Decks, Sun Deck, Roof Top DeckView description: Ocean, SoundWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 9,500 sqftLot features: Cul-De-Sac, LevelOther property informationParcel number: 012627001Zoning description: Sq","5","6","2,937","24270 Dean Ave, Rodanthe, NC 27982","$1,150,000","$1,150,000","",""
"1659739960-2880","https://www.zillow.com/avon-nc/for-sale/","40308 Due E LOT 15, Avon, NC 27915","https://www.zillow.com/homedetails/40308-Due-E-LOT-15-Avon-NC-27915/2077532156_zpid/","No data","null","HOA and financial detailsOther financial informationAnnual tax amount: $1,752","9","null","null","40308 Due E LOT 15, Avon, NC 27915","$869,999","$869,999","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659740135-2929","https://www.zillow.com/buxton-nc/for-sale/","48182 Caskey Ln #6, Buxton, NC 27920","https://www.zillow.com/homedetails/48182-Caskey-Ln-6-Buxton-NC-27920/2065499346_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: BuxtonSubdivision: Edward Quidley","7","null","null","48182 Caskey Ln #6, Buxton, NC 27920","$135,000","$135,000","",""
"1659740633-3002","https://www.zillow.com/hatteras-nc/for-sale/","58164 Hatteras Lndg LOT 15, Hatteras, NC 27943","https://www.zillow.com/homedetails/58164-Hatteras-Lndg-LOT-15-Hatteras-NC-27943/2070934993_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Harbor","0","null","null","58164 Hatteras Lndg LOT 15, Hatteras, NC 27943","$495,000","$495,000","",""
"1659739969-2883","https://www.zillow.com/avon-nc/for-sale/","40226 S Beachcomber Dr LOT 114, Avon, NC 27915","https://www.zillow.com/homedetails/40226-S-Beachcomber-Dr-LOT-114-Avon-NC-27915/2064243830_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: AvonSubdivision: HATTERAS COLONY SEC 1","6","null","null","40226 S Beachcomber Dr LOT 114, Avon, NC 27915","$110,000","$110,000","Chevron Right","https://www.zillow.com/avon-nc/2_p/"
"1659739652-2804","https://www.zillow.com/rodanthe-nc/for-sale/","22169 Sea Gull St, Rodanthe, NC 27968","https://www.zillow.com/homedetails/22169-Sea-Gull-St-Rodanthe-NC-27968/2065551116_zpid/","Built in 1999","No data","Property detailsParkingParking features: PavedPropertyPrivate pool: YesPool features: Fiberglass, Outdoor Pool, Private Pool, PrivateSpa included: YesSpa features: PrivatePatio and porch details: Covered Decks, Sun DeckView description: Ocean, SoundWaterfront features: Ocean Front, Beach Front, Waterfront, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot features: Adj to Park Serv./PreservOther property informationZoning description: S-1","7","7","3,318","22169 Sea Gull St, Rodanthe, NC 27968","$1,400,000","$1,400,000","",""
"1659740570-2982","https://www.zillow.com/hatteras-nc/for-sale/","0 N Point Rd LOT HV8, Hatteras, NC 27943","https://www.zillow.com/homedetails/0-N-Point-Rd-LOT-HV8-Hatteras-NC-27943/2063006490_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: Hatteras Landing Harbor Villa","3","null","null","0 N Point Rd LOT HV8, Hatteras, NC 27943","$199,000","$199,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659740589-2988","https://www.zillow.com/hatteras-nc/for-sale/","58232 Dunes Dr LOT 13, Hatteras, NC 27943","https://www.zillow.com/homedetails/58232-Dunes-Dr-LOT-13-Hatteras-NC-27943/2093720388_zpid/","No data","null","HOA and financial detailsHOAHas HOA: YesAmenities included: Ocean AccessOther financial informationAnnual tax amount: $2,609","5","null","null","58232 Dunes Dr LOT 13, Hatteras, NC 27943","$475,000","$475,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739699-2819","https://www.zillow.com/rodanthe-nc/for-sale/","22197 Green Lantern Ct, Rodanthe, NC 27968","https://www.zillow.com/homedetails/22197-Green-Lantern-Ct-Rodanthe-NC-27968/2099175191_zpid/","Built in 1989","0.48 Acres","Property detailsParkingParking features: Carport, Paved, UndergroundHas garage: YesCarport: YesPropertyPool features: NoneExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: Ocean, Park Serv/Preserve, Salt Marsh, SoundWaterfront features: Semi-Oceanfront (2nd row), Beach AccessHas waterview: YesWaterview: Ocean,Salt Marsh,SoundLotLot size: 0.48 AcresLot features: Cul-De-Sac, LevelOther property informationZoning description: Res","4","3","1,512","22197 Green Lantern Ct, Rodanthe, NC 27968","$575,000","$575,000","",""
"1659739686-2815","https://www.zillow.com/rodanthe-nc/for-sale/","22083 Sea Gull St, Rodanthe, NC 27968","https://www.zillow.com/homedetails/22083-Sea-Gull-St-Rodanthe-NC-27968/2064192097_zpid/","Built in 1991","0.25 Acres","Property detailsParkingParking features: Off StreetPropertyPool features: NoneSpa included: YesSpa features: Private, Jet TubExterior features: Lighting, Outdoor ShowerPatio and porch details: Covered Decks, Sun DeckView description: OceanWaterfront features: Ocean Front, Beach Front, Beach AccessHas waterview: YesWaterview: OceanLotLot size: 0.25 AcresLot features: LevelOther property informationZoning description: S-1","5","4","2,436","22083 Sea Gull St, Rodanthe, NC 27968","$1,099,000","$1,099,000","",""
"1659740550-2976","https://www.zillow.com/hatteras-nc/for-sale/","57181 Islington Ct, Hatteras, NC 27943","https://www.zillow.com/homedetails/57181-Islington-Ct-Hatteras-NC-27943/2083701360_zpid/","No data","null","Community and Neighborhood DetailsLocationRegion: HatterasSubdivision: None","0","null","null","57181 Islington Ct, Hatteras, NC 27943","$149,000","$149,000","Chevron Right","https://www.zillow.com/hatteras-nc/2_p/"
"1659739692-2817","https://www.zillow.com/rodanthe-nc/for-sale/","24207 Seabreeze Ct, Rodanthe, NC 27968","https://www.zillow.com/homedetails/24207-Seabreeze-Ct-Rodanthe-NC-27968/2064565431_zpid/","Built in 2002","10,500 sqft","Property detailsParkingParking features: Carport, Paved, Off Street, UndergroundHas garage: YesCarport: YesPropertyPrivate pool: YesPool features: Outdoor Pool, Vinyl, Heated Salt, Private Pool, PrivateSpa included: YesSpa features: PrivateExterior features: Lighting, Outdoor Shower, Storage, Dry EntryPatio and porch details: Covered Decks, Screened Porch, Sun Deck, Roof Top DeckView description: Ocean, SoundWaterfront features: More than 5th row, Beach AccessHas waterview: YesWaterview: Ocean,SoundLotLot size: 10,500 sqftLot features: Cul-De-Sac, LevelOther property informationZoning description: S-1 Res","4","3","1,673","24207 Seabreeze Ct, Rodanthe, NC 27968","$699,000","$699,000","",""
